0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l,16_n,16_p,16_l,17_n,17_p,17_l,18_n,18_p,18_l,19_n,19_p,19_l
EIF4EBP1,7.213228929764903e-104,0.8086263,TOMM7,2.1558923122225833e-22,0.11973078,DSC2,7.048219185337133e-18,0.31488088,MMP2,6.282955559035374e-19,0.052370846,CLECL1,0.8519925189986441,0.50685287,TUBA4A,2.699612633299917e-62,0.18769404,FOXP3,4.171086336870457e-26,2.3076117,KRT6B,1.430379842217809e-42,0.6690935,SFRP4,0.00042223715444746773,-0.07807852,OPRPN,8.818170036027464e-21,1.5427812,PDCD1,0.5695713189568702,1.704149,AGR3,3.0298470261359395e-42,0.73659134,PIGR,0.09337450412664232,0.9721092,FAM107B,0.00025294014783609677,0.1133012,MUC6,0.7304506031460944,1.3681405,RAB30,1.2151412688070724e-05,0.81214726,LIF,2.7600856646966977e-22,2.7714736,SDC4,2.0408854095052414e-39,0.7734543,TCF7,0.0082100667357186,0.37617752,CCL8,0.0008032752278257204,1.2079242
SLC25A37,1.5409548124484804e-73,0.47422436,CPA3,3.2668899029257106e-22,1.299326,ITM2C,1.0514080259410435e-17,0.13319674,NDUFA4L2,3.1197340187678125e-13,3.459326,RORC,0.866140318148958,0.99418086,SEC11C,2.517890042913776e-61,0.09569777,CD163,9.800554082911423e-25,0.29835197,KRT16,3.2718908595814242e-31,0.83883923,DERL3,0.001213296381243511,0.82024986,AKR1C1,1.1145065594845866e-20,0.5931265,PDE4A,0.576525329397819,0.42670006,THAP2,3.7336676114212775e-32,0.7055047,PDGFRA,0.10174201352810996,-0.1625701,CD163,0.0004352939027167621,0.05492727,PELI1,0.7343758485452263,0.17890437,ITGAX,5.419976318351272e-05,0.6354776,C15orf48,2.0395013250112646e-21,1.4327863,HPX,2.929569981678292e-38,2.262558,SH3YL1,0.008471478507036606,0.35024163,ACTA2,0.0011569849068296999,0.10113166
HOOK2,1.2700530458047733e-68,0.5066643,IL2RA,1.2123699480428519e-17,0.9392808,CCL8,4.5128687962393896e-17,1.3880318,MEDAG,8.995297327915413e-09,0.52595854,TIFA,0.9563335412503969,0.59353524,CDC42EP1,5.971351713550848e-57,0.845685,KLRC1,2.248928602295053e-23,1.2890909,DST,2.0806270362832857e-30,0.20908144,RAMP2,0.0030692556904089864,-0.008765344,CTSG,9.747775982076414e-18,2.7537591,CCL20,0.6139824664025352,0.71474963,DST,2.576401402385476e-30,0.22157294,OCIAD2,0.11232624802089951,0.18718256,TUBA4A,0.0005276706257296919,0.19879735,SLC4A1,0.7384454439929047,1.8418856,FCER1A,0.0004040357304852152,0.90017885,DMKN,3.39247089199469e-21,1.1877503,PCLAF,2.9010197146983374e-33,0.78366256,PTN,0.010482600394392206,0.5846564,CTSG,0.003196067868592742,2.45309
VOPP1,8.083641838301566e-64,0.198169,LYZ,1.0894790011749388e-16,-0.154611,SELL,2.108269238698774e-15,0.1446695,ALDH1A3,1.1242438189672656e-08,0.4387518,NCAM1,0.9589438690351124,0.842778,KARS,2.7071653601045936e-54,0.2956956,PDGFRB,2.3214292622939997e-23,0.15305783,DAPK3,3.953197366650674e-25,0.71423286,THAP2,0.004343658938621433,0.34865394,RUNX1,7.127281564381769e-17,0.1600028,RHOH,0.6502436304728996,0.30834144,CLDN4,3.947828649029718e-28,0.2704477,CD274,0.13127701725124655,0.38624987,IGSF6,0.0022030321500181803,0.09045678,APOBEC3A,0.7595367900714994,1.2559013,MNDA,0.000436473906218366,0.6006619,EDN1,9.163385480841151e-19,1.6635085,HDC,8.868307731849792e-31,0.48243964,S100A14,0.013062223082024298,0.1997305,ESR1,0.0048652977169621695,0.33852145
RAPGEF3,5.878695530580583e-53,0.8278042,CD8B,1.0593195201792205e-14,0.11036772,C15orf48,5.106940325038563e-15,1.2342609,CDC42EP1,6.041077189255002e-08,0.7376207,AHSP,0.9835638011630616,0.86673915,TRIB1,2.921296523465491e-48,0.27200595,SLAMF7,8.758025351300439e-23,0.23903276,EIF4EBP1,2.4312653297354243e-23,0.3812928,IGSF6,0.006230989247766921,0.006798545,KRT23,5.0290993863027514e-15,0.32841185,APOBEC3A,0.6784340514833018,1.1263659,RTKN2,6.774003293720795e-27,0.50052375,LGALSL,0.1748388487900612,0.23283707,CLECL1,0.006632945452563512,0.76461273,MPO,0.7595367900714994,2.3253999,C1QA,0.017753389054932626,0.41715342,MYLK,3.7141770710034776e-18,0.17430098,OXTR,2.8805302612218394e-27,1.5530417,OCIAD2,0.02036994887426876,0.5609353,SFRP4,0.004943936357536678,-0.28109005
TRIB1,5.391918793756964e-48,0.26371256,LEP,2.5698515175957675e-12,1.8883281,TPSAB1,6.533641828189166e-15,0.96319735,SSTR2,6.28458309808482e-08,2.3835764,UCP1,0.9948128181725795,0.7703946,DUSP5,1.5864912898491773e-40,0.124456875,APOBEC3B,5.095844178026354e-20,0.9636666,DUSP5,3.7345890392584508e-22,0.06345911,ESM1,0.00843866505478447,0.67159647,FAM49A,6.038166674764424e-14,0.3059406,CD1C,0.8247548405676765,0.1107512,HOOK2,2.5628027048314055e-26,0.48334384,AQP3,0.20176859182623463,0.10575583,CD14,0.012031494087402112,0.060291383,CYP1A1,0.7603166229159946,2.6606283,IGSF6,0.027157927818037934,0.37278563,EIF4EBP1,1.7054074699110467e-16,0.7385529,VOPP1,1.3465616904026892e-26,0.35042584,MYO5B,0.02636228088900748,0.26168838,POSTN,0.005034608019633999,0.07989208
THAP2,2.945689966971036e-40,0.43315846,ENAH,4.331626069062173e-11,0.09358734,VOPP1,1.4488017336687233e-14,0.20750271,FAM49A,1.2983178918290387e-07,0.3698223,CRHBP,0.9589438690351124,-0.04196404,MKI67,4.101354886219082e-33,0.5130269,DUSP2,1.4675982968650907e-19,1.2442694,LARS,3.9164315659734333e-22,0.14704354,PTGDS,0.011510702134985389,-0.0996838,PDE4A,9.632379117930545e-14,0.24610272,NCAM1,0.8412298330733546,0.78606737,EIF4EBP1,3.1574583071746703e-23,0.5674107,TFAP2A,0.22675456250743262,0.105692066,PDK4,0.01874954076537765,-0.034699287,CXCL5,0.7858639433262025,1.2104824,CD163,0.0818753603018967,0.23709808,NARS,1.0570915206413157e-14,0.23355189,CTTN,3.778715239011731e-24,0.40683213,DSP,0.04193512302227819,0.16852564,PCOLCE,0.006668121650725526,0.7033758
TUBB2B,2.2315983132483903e-37,0.5017299,GZMB,1.260697894209483e-10,0.9161759,PDE4A,2.7667034681509637e-13,0.4889591,RAB30,1.8505130237323198e-07,0.31924537,CSF3,0.9515353834628807,0.7688915,CENPF,1.6306368826818385e-30,0.31934145,NKG7,1.522131002315237e-19,1.2777946,HMGA1,4.214662288121547e-22,0.09673823,DNTTIP1,0.0173544721874669,0.16376662,PGR,1.488092853577053e-12,1.071839,CD83,0.8544943039620583,0.24040845,DAPK3,3.931341206682579e-21,0.8819573,DNTTIP1,0.27925246766862405,0.13555185,CTH,0.0219393040528473,1.1886396,UCP1,0.7858639433262025,2.1876578,C1QC,0.321933270438315,0.24647142,MYBPC1,4.0103081436820715e-14,4.234356,TOP2A,1.4407811832315627e-22,0.78090537,HAVCR2,0.05666570004421229,0.44532555,FASN,0.007543630362252902,-0.04976867
WARS,4.6425238247770566e-30,0.015978817,AVPR1A,4.759117574043967e-10,0.7038809,ACTG2,3.833153837382285e-11,0.11693758,PCOLCE,9.638687400829363e-07,0.605892,CD79B,0.9343020539416678,0.36819717,ADAM9,1.0367730849286693e-29,0.1418861,IGSF6,4.870835139102416e-19,0.3745468,ADAM9,1.5177008679112742e-20,0.20777342,EDNRB,0.01967472361900127,0.048753787,LDHB,1.7596315714929987e-12,0.01977895,C15orf48,0.9378752314090353,0.35188308,WARS,5.645870300251114e-16,0.09555057,MUC6,0.3816757741258598,1.5826805,S100A4,0.023689338752114878,-0.039733913,KRT23,0.7983901545357157,0.08883854,PECAM1,0.48822021381544634,0.01259439,FASN,2.232053785917197e-13,0.16760989,MDM2,8.996140605139726e-21,0.3505865,MYH11,0.07694164150694181,0.69664943,HOXD9,0.009767393129331952,0.70570016
RORC,9.043718506583195e-29,0.8368969,SDC4,9.552256699644467e-10,0.26601547,CLEC9A,1.8184157060574525e-10,2.5187616,NCAM1,3.3180280715729205e-06,1.6994576,APOBEC3A,0.9218279570132841,0.4232139,DAPK3,2.3992179272748426e-28,0.7210212,FGL2,1.5230499219444298e-13,0.07513196,MDM2,7.463389870214332e-20,0.18249358,CLIC6,0.027816432727438733,1.023593,AKR1C3,9.876831190561335e-10,0.7382502,IGSF6,0.9543366982165934,0.16048373,DUSP5,8.691889354474371e-15,0.12470484,SH3YL1,0.5036643638665207,0.05703801,CD86,0.044991383710443894,0.13497515,MKI67,0.7983901545357157,0.32676557,CD3E,0.5114085605658634,-0.10479177,QARS,5.079710934652027e-12,0.23006566,TUBB2B,2.521299236263431e-20,0.7850709,POLR2J3,0.09711348151843932,0.069322154,CD4,0.012060026233998903,-0.09559583
LGALSL,3.788548258783573e-27,0.3666246,CTSG,1.162401797160282e-09,1.493142,CD80,5.199906492302562e-10,1.4954693,ANKRD28,5.720718427294672e-06,0.40348354,MPO,0.911858216193878,-0.12241001,ANKRD28,9.187817329103303e-25,0.12785582,BASP1,3.0186621075811827e-13,0.20294152,MYLK,1.0174113989364414e-19,0.123765245,PGR,0.04933650949595693,0.4530481,USP53,1.265595504681812e-07,0.08077497,CRHBP,0.9543366982165934,-0.96866506,ANKRD28,6.721657822243129e-13,0.18792509,EPCAM,0.517814990575369,-0.161915,FCER1A,0.053879880480559895,0.16098379,SSTR2,0.8161311322085819,0.5868724,CCL8,0.5651760993682365,0.5043174,SCGB2A1,7.456831202845387e-12,3.250796,OCIAD2,4.1403377636197775e-20,0.4631488,CCL20,0.11575804419788151,2.155294,BANK1,0.013671858033542742,-0.04930843
TOMM7,1.9701788655518364e-26,0.1514798,CTTN,2.6660339597823676e-07,0.098902985,ADAM9,8.105926875481287e-08,0.14841114,ADIPOQ,1.2005312580842372e-05,0.6046636,CYP1A1,0.9006090654020275,-0.15244128,DST,4.2970806929671757e-23,0.0936993,MNDA,3.0178128711027566e-11,0.32476398,TRAPPC3,2.9987624708297217e-16,0.13463342,SSTR2,0.052406381990442556,1.2732062,ANKRD28,2.3552411550087203e-07,0.14100695,AHSP,0.9543366982165934,0.03348031,S100A14,1.1568323488369487e-11,0.1323601,ELF5,0.5321247767084507,0.55348206,KLRB1,0.05555175365708852,-0.13642757,LEP,0.8161311322085819,0.60160893,PDGFRA,0.6199692925101676,0.095364325,TIFA,1.1919995942345434e-09,0.37557057,HMGA1,1.6884688948638985e-19,0.2495566,KRT6B,0.13353540451376153,0.33819902,NOSTRIN,0.014698409738645462,0.54993886
NPM3,2.4833964762497676e-26,0.8120894,SERPINB9,4.816132571432941e-07,0.01490651,CD274,3.162653446408364e-06,1.0050923,PGR,1.3504454524289923e-05,0.89576674,MUC6,0.7267160908189926,-0.23457721,KRT15,4.211252656766922e-22,-0.08406666,IL2RA,3.288388620729615e-11,1.1560601,NOSTRIN,5.1379044290874584e-15,0.18223202,MEDAG,0.05441972399594874,0.08618359,KRT14,6.379374150411249e-07,-0.31696644,TIFA,0.9378752314090353,0.40354502,HPX,4.000145588093862e-11,1.0543284,LIF,0.6122016685457934,0.27532804,LRRC15,0.05849187644628541,0.12949513,CD1C,0.8389549246679233,0.18747376,ACTG2,0.6891167084285973,0.06359615,AKR1C1,2.343744710003466e-08,0.67423326,PTRHD1,6.5795544895912576e-18,0.41691864,FCGR3A,0.16253870293659364,0.3436536,HAVCR2,0.03646133337810616,-0.025961298
HPX,1.4265709987772824e-24,1.1481154,PDCD1LG2,6.841100545306056e-07,0.5974428,BANK1,0.0009462650508621968,-0.079391204,DAPK3,0.00017231219043762578,0.6631235,SLC4A1,0.6937502968011509,0.23683381,MDM2,1.2285456020718839e-21,0.17410336,RHOH,1.0252559714273827e-09,0.3077939,ACTG2,1.3236432954591564e-14,0.12569125,FOXC2,0.07068944802119786,0.4928878,PIM1,7.121526821146368e-07,-0.009294997,CSF3,0.9369383485024241,0.0042611286,DSC2,2.434092696545267e-10,-0.0018518959,SCGB2A1,0.624311325698032,1.1329796,C2orf42,0.09067237686912356,0.49593824,CRHBP,0.8624577764211184,1.9226257,TYROBP,0.7371732926168324,0.39365646,RORC,2.8551954433580468e-08,1.03814,CDC42EP1,2.1553830717043337e-12,0.70408833,TENT5C,0.17029962254033243,0.08087863,TCF4,0.07281083629210965,-0.10473103
C2orf42,9.651455468976476e-20,0.4183715,PGR,1.6829290429177078e-06,0.6083052,LRRC15,0.0014755411354961006,0.17040344,ADAM9,0.0001801499249385113,0.107923284,TCF15,0.6811292704386017,-1.0440904,SCGB2A1,2.0153848544065764e-21,2.3837204,CD14,4.3823708460484034e-09,0.1770047,RORC,5.769506978805085e-14,0.72739506,CX3CR1,0.11025633133659192,0.13623442,MZB1,1.0938895504498118e-06,-0.15593803,MMP1,0.9354567398421697,0.3144874,TOMM7,2.904016602773856e-10,0.15592843,DNAAF1,0.6378357686081524,0.81365794,SFRP1,0.1138745815894346,-0.027274143,AHSP,0.8738127978848289,1.9219592,MUC6,0.8189115113723868,0.8707591,RUNX1,3.7625097567598176e-08,0.17338875,USP53,2.436701981392305e-12,0.14581165,LTB,0.1734863779877441,0.26719704,LYZ,0.09802945677882224,-0.24655876
ANKRD28,1.5735282882908775e-18,0.07499257,TPSAB1,4.028570412032363e-06,0.50376654,S100A8,0.0016523228225129856,1.1840256,TCF15,0.00041579074995775706,3.6285112,KLRF1,0.6392932626941978,0.7978072,PTRHD1,3.6216017414040346e-19,0.084337436,FCER1A,5.125101633962309e-09,0.5561604,QARS,2.9469210781719806e-13,0.08093178,POLR2J3,0.11812546957326975,0.043365642,CCL8,2.0275631354887123e-06,0.6755098,MPO,0.9262074790433227,-0.67077553,VOPP1,1.6212023879208475e-09,0.086350724,POSTN,0.7010682427406913,-0.09446648,RHOH,0.19806133678876064,0.102495275,SCGB2A1,0.980381964798528,0.542936,PDCD1LG2,0.8866167539443418,0.41730058,AQP3,3.765223643003359e-08,0.7857755,DUSP5,7.748911969752315e-11,0.13033831,OPRPN,0.2942666045565525,1.3387879,IL2RA,0.11030984689392469,0.5759432
TUBA4A,3.4224400908859315e-17,0.02013391,CLIC6,1.973321017632591e-05,1.1527812,ADIPOQ,0.002043060187054591,0.22477417,PRDM1,0.0004344621115717927,-0.03379659,GZMB,0.4596226995072846,0.21062827,KLRF1,4.366062958174854e-19,0.7378692,PDE4A,5.496741896798042e-08,0.49080557,CDC42EP1,1.3603364669532179e-10,0.31608796,AIF1,0.145347456680095,-0.12189815,FBLIM1,7.0148821587083764e-06,-0.0061476957,CYP1A1,0.9182183484882962,-0.46198955,C2orf42,2.284826562946798e-09,0.49077097,S100A8,0.8645915931507967,0.10853517,TPSAB1,0.2122347635697766,0.1731285,CSF3,0.983323157401414,0.13143937,DUSP2,0.9475961531220478,0.3816307,TRAF4,2.87920903086754e-06,0.15060027,SERHL2,1.2002901096535466e-09,-0.071307465,TACSTD2,0.3448278104008674,-0.053939573,FGL2,0.12205444586800125,-0.3079728
DAPK3,6.683927941159912e-13,0.38293403,APOC1,4.481612828235314e-05,-0.16485037,SPIB,0.01955767657832684,0.36555874,CD79B,0.0005510694690453514,1.0089527,CXCL5,0.45516238878960574,-0.5152731,THAP2,4.598552141387158e-19,0.20448099,FCGR3A,8.30256833776977e-08,0.34968036,KARS,1.2954703058561574e-08,0.014630961,TIMP4,0.19026413588850646,0.17018285,LIF,8.485350362943316e-06,1.5795916,CTLA4,0.9121658161004508,-0.098725304,NPM3,2.7153388338327867e-09,0.7607022,HOOK2,0.8645915931507967,0.15341017,CPA3,0.2163652299667189,0.41974157,MYBPC1,0.9998951551118205,0.0023721915,AHSP,0.957293216614927,1.292749,SCD,1.3131036076464848e-05,0.07150682,SEC11C,3.4582042992344634e-09,-0.036047928,KRT23,0.38486031469251764,0.6941043,TPSAB1,0.1770611440547735,1.0017813
OXTR,7.003086312233443e-12,0.17273876,KIT,8.90353630307702e-05,0.18997595,LILRA4,0.04413514695980547,0.6027291,MAP3K8,0.0007170755024373619,0.2255276,AIF1,0.4436006240372962,0.17081697,TCIM,2.70305792959633e-16,-0.034434382,CD86,0.00019022048371051015,0.22235785,MAP3K8,7.495953341559185e-08,-0.09613112,C15orf48,0.19319451508977306,0.13887264,CD1C,1.017461670401151e-05,0.12821786,UCP1,0.8992439148230639,-1.0131584,TUBB2B,1.0516487124856974e-08,0.30331087,CXCL5,0.8989572332366462,0.33276245,CTSG,0.26892734099295384,0.54709125,TCF15,0.9998951551118205,0.7798308,GZMK,0.9734315657940237,0.58569103,TUBA4A,2.5075201120261297e-05,0.06343885,TUBA4A,1.2351907773462197e-08,0.026205527,KRT16,0.43082117762496375,0.3901768,TCEAL7,0.23049224991322956,0.44741017
LAG3,3.43398515182648e-06,0.3135127,FCER1A,0.004729925264755223,-0.08199273,PDGFRB,0.059005709366171,-0.15893471,ACTG2,0.0019578179821638283,0.08546952,LAG3,0.4306654594085539,0.5061206,KRT23,2.8964115716325155e-16,0.15998779,SFRP1,0.00026076455767452936,0.026464043,HOOK2,1.002558248208918e-07,0.03282473,LIF,0.2128587070638377,0.5418908,SH3YL1,1.579183973978265e-05,0.017422615,TCF15,0.8823820488104301,-0.21008596,LGALSL,7.838429360408383e-08,0.25599927,APOBEC3A,0.9479020490368327,0.13709256,OPRPN,0.3092692521039192,0.18235566,PCLAF,0.9199692846942215,0.101612106,IL2RA,0.9744740797219311,0.34285775,CEACAM8,5.1875845730454636e-05,0.9543588,CENPF,6.268146418531303e-08,0.35647997,CD27,0.43082117762496375,0.12107684,SOX17,0.23150759368813517,0.51187456
FOXP3,7.229260433010723e-05,-0.024973866,CDC42EP1,0.008958545410252794,0.18863466,CPA3,0.05963823979578273,0.42265108,CCL8,0.004601078876610073,0.5764963,NDUFA4L2,0.3579474571135971,-0.8887478,RAB30,1.5490155052086926e-14,-0.065711886,MS4A1,0.0003143305725213293,-0.12804075,ANKRD29,4.803149836003437e-07,-0.039324094,MYH11,0.2528753898316468,-0.02292712,TIMP4,3.171623871061675e-05,0.5103919,LILRA4,0.850498163918583,-0.095067576,SLC25A37,8.528292832066201e-07,0.053894,EDN1,0.9680364063454684,-0.27939236,MNDA,0.31873452083317466,-0.031033665,PDCD1,0.847560233564679,-1.0993438,ADH1B,0.9752289893702585,-0.14866859,LGALSL,0.00015143839416114645,0.39914322,KARS,5.938475692617894e-07,0.114862606,MKI67,0.4670419447259851,0.43301058,MMRN2,0.2540590611841897,-0.12899733
REXO4,0.00011412488695998395,0.46985546,BTNL9,0.011665837560079799,-0.34581962,TRIB1,0.05968129999268026,0.18499888,TCEAL7,0.005866696700013636,0.44693154,CD86,0.3344735127839154,0.3400687,FSTL3,2.5226587943003682e-14,0.1760868,CCL20,0.00048651122689267307,1.7337213,THAP2,7.08692650547999e-07,0.033783387,AVPR1A,0.2787158985886196,0.32687584,GLIPR1,4.4188927149049827e-05,-0.18735936,SPIB,0.8422851983628987,0.04326492,REXO4,5.179542664434446e-06,0.89869237,C15orf48,0.970614815921877,-0.14412358,BANK1,0.35359348313954503,-0.2675955,KLRF1,0.8161311322085819,0.13162753,DPT,0.9763562320912135,0.23803113,PGR,0.00022154556588901614,1.9679416,TIFA,2.9032889783437737e-06,0.049207278,PTRHD1,0.47432948799457647,0.3897215,GZMB,0.3024941837877583,0.5312702
PELI1,0.002159209929367415,-0.2929204,CTH,0.022032092884618545,0.53409743,ZEB1,0.05970432708597645,-0.018237872,TOMM7,0.02104649808223733,0.008063724,SLAMF7,0.2844148419943462,0.035880845,RORC,2.262036952266531e-12,0.48586226,CPA3,0.0025131110414852286,0.889759,SH3YL1,1.3299740602444267e-06,-0.041207667,CD68,0.35342627810613314,-0.19882435,FCGR3A,4.9740044037483256e-05,-0.121366106,SSTR2,0.7713838893158779,0.13897184,RORC,1.796212263423259e-05,0.52322537,UCP1,0.9812607993085127,0.2673768,NCAM1,0.4326629894357388,0.61672086,CCL8,0.8001321813573414,0.37642577,PDCD1,0.9870036237494972,0.56452984,HMGA1,0.0005294915484366891,0.04695686,CAV1,9.994023301353192e-06,-0.3822813,CD274,0.48567633856168296,0.6122996,TRIB1,0.33355469698308554,-0.055200506
BASP1,0.004106532570550275,-0.15734491,MAP3K8,0.04687562801453168,-0.05255706,KIT,0.06293619223466143,0.16206273,ITM2C,0.04694074815072584,-0.07787941,CD19,0.2738339608002683,-0.19105344,AQP3,5.536290535341229e-09,0.07504705,GNLY,0.003032140317488913,1.5333725,KRT23,1.9967641977052038e-06,0.116980225,SQLE,0.36601751537913185,0.06758732,KARS,0.0001557785211150929,0.045922466,PDCD1LG2,0.7501804184380937,0.1961999,ACTG2,0.000942304631172895,0.021988979,CTH,0.9947584412367733,0.23216237,SSTR2,0.47554312917890007,0.7029138,ESM1,0.7983901545357157,-0.017830519,CSF3,0.9913182446638092,0.5022058,FOXC2,0.0006185269205317423,0.82533807,TRIB1,1.0969584480644396e-05,0.025099147,CENPF,0.48962936381414757,0.3178172,CDC42EP1,0.3468576125754856,0.16947053
ELF5,0.008753336148949414,0.06757533,C2orf42,0.05157287774982582,0.13778803,CTSG,0.19950615634210858,0.5331183,SFRP4,0.07627323227176146,-0.17799543,LIF,0.26065115842720155,0.055806883,LGALSL,6.205318677337902e-09,0.07725823,LAG3,0.0035201236385973226,0.7446395,OXTR,2.5114487697270164e-06,0.13030429,DST,0.4497860381559214,-0.035501335,SLAMF7,0.0001658392394665029,-0.374758,SLC4A1,0.7446916170009115,-0.37527567,OXTR,0.0016075570108846564,0.028823422,AHSP,0.985056624324559,-0.37502822,TYROBP,0.55939055436163,0.12027126,DNAAF1,0.7983901545357157,0.7172282,CRHBP,0.9913182446638092,0.59038395,PELI1,0.006171795829108587,0.12238542,MKI67,0.00029357139687748597,0.2255185,LDHB,0.5053944858175734,0.03380057,CLDN5,0.3695636562587037,0.82475024
DNTTIP1,0.010041970846942638,-0.15935102,CAVIN2,0.08249390360838339,-0.08468141,PRDM1,0.3167048201105135,-0.16706283,GNLY,0.13435078639305825,0.5692965,IL3RA,0.19232188015965704,0.08570561,RAPGEF3,7.644211724040282e-09,0.12694487,MEDAG,0.0050020786434682605,0.23279276,MKI67,2.6121065494964882e-06,0.20285441,ANKRD28,0.4882990916137141,0.12653871,CAVIN2,0.0001976672067084193,0.25208542,MUC6,0.7151214502727352,-1.1430104,DNTTIP1,0.0025847874100478124,-0.067775704,MPO,0.9680364063454684,-0.30557704,PTPRC,0.6406752683967529,-0.28576526,PDE4A,0.7956158882646903,0.0562259,UCP1,0.9913182446638092,0.4611386,ANKRD28,0.013549520089838993,0.111999415,KRT23,0.000322175644111051,0.20114478,FCER1G,0.5417685229637559,0.0681569,PGR,0.40597035184659536,0.25302428
DSC2,0.01702472313591695,-0.27631325,LIF,0.10444082581770722,0.4075491,KLRF1,0.3997978248307791,0.29710335,LEP,0.20238065643776304,0.63831306,SSTR2,0.17998820623544617,-1.2476479,POLR2J3,1.965396069726237e-07,0.12389243,TPSAB1,0.005565935747522248,0.58921975,BASP1,1.0217402747234502e-05,-0.03458174,AKR1C3,0.5418407713405083,0.087053984,TFAP2A,0.0003804027055464466,0.057121452,CXCL5,0.693478341925328,-0.3641658,GJB2,0.00343400816224081,-0.01850034,CRHBP,0.9534669298568857,-18.708502,CD1C,0.6424455140514417,-0.19605245,TCL1A,0.7858639433262025,-0.29622173,CD274,0.9913182446638092,0.42373583,ANKRD30A,0.030888292028495114,0.03911712,NPM3,0.000835495875106601,0.4060819,GNLY,0.5571829168100048,1.1044183,LIF,0.40597035184659536,0.61252356
SLC4A1,0.4094127777951441,0.3094745,MUC6,0.20126639352231515,1.1377146,MEDAG,0.5036134541785985,-0.0458445,DNTTIP1,0.20420736794077632,0.19111603,MYBPC1,0.1752564821052518,-1.5303229,CTH,6.513020104159194e-06,0.61336654,GZMB,0.006349100135158472,0.5830958,LGALSL,1.5157444935079151e-05,0.03917454,NPM3,0.565262829262281,0.2678408,HOOK2,0.00040040826505734515,0.18876553,CLIC6,0.6460847709777078,0.2154727,ACTA2,0.02120274543121777,-0.13573298,CSF3,0.9534669298568857,-0.31358638,TRAPPC3,0.6545082091767588,0.048721798,GZMK,0.7304506031460944,-1.0715392,CYP1A1,0.9870036237494972,0.40811032,LARS,0.03989026808957921,0.038799793,DAPK3,0.00115833230025308,0.3489854,PIGR,0.6315573223863562,0.84390736,KDR,0.4339667574542282,-0.29145977
DNAAF1,0.4094127777951441,0.2586842,MMP1,0.22618545711819069,0.07592484,LPL,0.549639056926088,-0.0740943,PTN,0.2512633637911204,-0.07680466,ITGAX,0.15599567817768414,0.15629913,NPM3,2.9012832300647086e-05,0.2172784,GZMK,0.006807437273623371,2.1025774,NPM3,5.688311846381799e-05,0.27727795,CTH,0.6023817061881015,0.3493886,MMP12,0.0004627750333811821,0.3987669,CLECL1,0.6437185763928679,0.04572052,FOXP3,0.02511978666147684,-0.076195374,CYP1A1,0.9479020490368327,-0.81628907,PDCD1LG2,0.6957202561176192,0.122480385,CLCA2,0.7218869707501901,0.14239635,MPO,0.9573826907368046,-0.149209,AGR3,0.040616015479007075,-0.035319466,FOXC2,0.0016109501815867286,0.61965317,IGSF6,0.691883825108734,0.046483446,ITGAM,0.4500947698025063,-0.03816848
CXCL16,0.5023896637951943,-0.30945018,MYBPC1,0.23927542716602238,0.2652285,LEP,0.6569283990870574,0.088566944,CD274,0.4601605799858324,0.14489403,PLD4,0.14733677617440052,-0.2602931,TIFA,0.0024833055737404374,-0.3245436,PECAM1,0.013295749373279797,-0.16397959,MYH11,0.00014084894023470257,-0.23162667,LGALSL,0.6116380412836466,0.116874136,CD93,0.0005929954223839487,-0.47753388,ESM1,0.6250255163610349,-0.23996927,ELF5,0.04865687758442049,0.21686752,PELI1,0.8989572332366462,0.024979033,CCL8,0.710961672823689,0.0012001945,NDUFA4L2,0.7109030006426497,-0.68741006,CTSG,0.9313442170414366,0.035091855,CXCL5,0.04737366074810128,2.2415497,WARS,0.0019007967878777753,-0.09422603,C15orf48,0.7324242131737195,0.33546042,TYROBP,0.4600713234575553,-0.154811
DUSP2,0.973689390237781,-0.8148902,NPM3,0.32411858727475557,0.09552239,PIM1,0.7450944417960876,-0.042063314,CTH,0.5083805427070165,0.438394,DNAAF1,0.1404611148388551,-1.1649015,BACE2,0.03133203947198526,-0.23805566,CD1C,0.01899666700822467,0.13233642,TIFA,0.00027455040692522245,-0.1956844,AKR1C1,0.6865352017596978,-0.020426808,CD8B,0.000955410293294758,-0.29009008,CCL8,0.6248745039376119,0.070734985,CXCL16,0.11355249157493215,-0.20996709,TCF15,0.8605504637402386,-1.0152146,FCGR3A,0.7715645088944111,-0.038197897,DUSP2,0.6711154174545546,-0.17918183,BTNL9,0.891920636038344,-0.1603743,TOMM7,0.04945043244767311,0.09158246,THAP2,0.00561139845177501,-0.010896044,PDCD1,0.7385953146661803,1.7865107,EGFL7,0.5404492303207817,0.14751057
